Name,Location,Open Year-Round,Handicap Accessible,Borough,Comments
Jesse Owens Playground,Stuyvesant & Lafayette avenues,Yes,Yes,Brooklyn,
John Golden Park,"215 Place, south of 32 Avenue",No,Yes,Queens,
John J. Carty Park,"Fort Hamilton Parkway, 94-95 streets",Yes,,Brooklyn,
John Jay Park & Pool,East 76-East 78 streets & Cherokee Place,Yes,,Manhattan,
John Paul Jones Park,"Shore Parkway, Fort Hamilton Parkway, 101 Street",Yes,,Brooklyn,
Joline Pool Playground (Modular Equipment),"Joline Avenue, Hylan Boulevard",No,,Staten Island,
Joline Pool Playground (Modular Equipment),"Joline Avenue, Hylan Boulevard",No,Yes,Staten Island,
Joseph Austin Playground,Grand Central Parkway & 164 Place,Yes,,Queens,
Joseph F. Mafera Park,65 Place & Catalpa Avenue & 68 Avenue,Yes,,Queens,
Julio Carballo Field,"Lafayette Avenue, Manda Street",Yes,,Bronx,
Juniper Valley Park,Lutheran Avenue; North and South Juniper boulevards; and the pathway from 76th Street on north end to 75th Street on south end,Yes,Yes,Queens,
Juniper Valley Park (North Playground Tennis),62nd Avenue & 80th Street,Yes,,Queens,
K.L. Williams Playground (Tennis),"Liberty Avenue, 172-173 streets",Yes,,Queens,
Kaiser Park,"South of Gravesend Bay, southeast of Path, northeast of Neptune Avenue",Yes,,Brooklyn,
Katzman Playground,Yellowstone Boulevard between 68 Avenue & 68 Road,Yes,,Queens,
Kennedy King Playground,East 93 Street & Lenox Road,Yes,,Brooklyn,
Kennedy Playground,Corp. Kennedy Street & 33 Avenue,Yes,,Queens,
Kissena Corridor East (Underhill Playground),Peck Avenue & 188 Street,Yes,,Queens,
Kissena Park,"Oak Avenue, 104th Street, & Kissena Lake Area",Yes,,Queens,
Kissena Park (Tennis Courts),Rose & Oak avenues,Yes,,Queens,
La Guardia Playground West,"Havemeyer, Roebling streets & South 4",Yes,,Brooklyn,
Lawerence Virgilio Playground,39 Drive & 54 Street,Yes,Yes,Queens,
Leif Ericson Park & Square,CLF behind CS adjacent to 5th Avenue to 7th Avenue(Highway) between 66th and 67th Street,Yes,,Brooklyn,
Levy Playground,Jewett & Castleton avenues,Yes,,Staten Island,
Liberty Pool,173rd Street and 106th Avenue,,Yes,Queens,
Lincoln Terrace Park,Buffalo Avenue/Protal Street/New York Avenue,Yes,,Brooklyn,
Lincoln Terrace Park (Arthur S. Somers Playground),"East New York, Rochester avenues, Eastern Parkway,Buffalo Avenue",Yes,,Brooklyn,
Linden Park,"Stanley Avenue, Linden Boulevard",Yes,,Brooklyn,
Linden Park,104 Street & 41 Avenue,Yes,,Queens,
Lindower Park,"Mill & Strickland avenues, 60 Street",Yes,,Brooklyn,
Little Flower Playground,Madison Street opposite Jefferson Street,No,Yes,Manhattan,
London Planetree Playground,"88 Street, Atlantic-95 avenues",Yes,,Queens,
Loreto Park Playground,"Morris Park Avenue, Haight Avenue, Tomlinson Avenue, Van Nest Avenue",Yes,,Bronx,
Loring Field,North Conduit & 149 Avenue,Yes,,Queens,
Lost Battalion Hall,Queens Boulevard between 62 Avenue & 62 Road,Yes,,Queens,
Lou Lodati Playground,Skillman Avenue & 43 Street,Yes,,Queens,
Louis Armstrong Playground (PS 143),37 Avenue between 112 & 113 streets,No,Yes,Queens,
Louis Pasteur Park,248 Street & 51 Avenue,Yes,,Queens,
Lozada Playground,"East 135 Street, Willis Avenue, Alexander Avenue",Yes,,Bronx,
Luna Park Playground,West 12 Street & Surf Avenue,Yes,,Brooklyn,
Lyons Pool,"Pier 6, Victory Boulevard",No,Yes,Staten Island,
Macombs Dam Park,East 161th Street & Ruppert Place,Yes,,Bronx,
Magenta Playground,"Olinville Avenue, Rosewood Street",Yes,Yes,Bronx,
Mahoney Playground,Beechwood & Cleveland avenues,Yes,,Staten Island,
Mapes Pool,"East 180 Street, Mapes & Prospect avenues",Yes,,Bronx,
Maple Playground,Kissena Boulevard & Maple Avenue,No,Yes,Queens,
Marble Hill Playground,"Marble Hill Avenue, West 230 Street, West 228 Street",No,,Bronx,
Marconi Park,109 Avenue & 155 Street,Yes,,Queens,
Marc's & Jason's Playground,Sterling Street & Empire Boulevard,Yes,,Brooklyn,
Marcus Garvey Park (Pelham Fritz Recreation Center),18 Mount Morris Park West,Yes,,Manhattan,
Marcus Garvey Park (Pool),"Madison Avenue, East 120 to East 124 streets",No,,Manhattan,
Maria Hernandez Park,"Knickerbocker to Irving avenues, Starr to Suydam Streets",Yes,,Brooklyn,
Marie Curie Park (JHS 158),"211 & Oceana streets, 46 Avenue",Yes,,Queens,
Marine Park,Burnett Street between Avenue U and Avenue X/west of East 33rd Street,Yes,,Brooklyn,
Marine Park Nature Center,East 33rd Street and Avenue U,,Yes,Brooklyn,
Marion-Hopkinson Playground,Hopkinson Avenue & Marion Street,Yes,,Brooklyn,
Markham Playground,"Willowbrook Parkway, Forest Avenue & Houston Street",Yes,Yes,Staten Island,
Martin Luther King Houses,"Lenox Avenue, West 113 to West 114 streets",Yes,,Manhattan,
Martinez Playground,"Scholes Street, Graham Avenue",Yes,,Brooklyn,
Mathew Muliner Playground,"Delancy Place, Muliner Avenue, Matthews Avenue",Yes,Yes,Bronx,
Maurice A. Fitzgerald Playground,Atlantic Avenue & 106 Street,Yes,,Queens,
Maurice Park,"Maurice, Borden, 54 avenues, 63 Street",Yes,,Queens,
May Matthews Playground,West 45 Street between 9 & 10 avenues,Yes,,Manhattan,
Mazzei Playground,"Mace Avenue, Williamsbridge Road",Yes,,Bronx,
McCaffrey Playground,"West 43 Street, 8 & 9 avenues",Yes,,Manhattan,
McCarren Park,12th Street/Driggs Avenue/Lorimer Street/Bedford Avenue,Yes,,Brooklyn,
McDonald Playground,"Mcdonald Avenue, between avenues S & T",Yes,,Brooklyn,
McDonald Playground,"Forest Avenue, Myrtle Avenue between Broadway & Burgher",Yes,,Staten Island,
McKinley Park,"Fort Hamilton Parkway, 73 to 78 streets, 7 Avenue",Yes,,Brooklyn,
McKinley Playground,"Avenue A, East 3-East 4 streets",No,,Manhattan,
McLaughlin Park,"Tillary Street, Jay Street, Cathedral Place, Bridge Street",Yes,,Brooklyn,
Mellett Playground,Avenue V between East 13 & East 14 streets,Yes,,Brooklyn,
Metropolitan Pool,Southeast corner of Bedford & Metropolitan avenues,Yes,,Brooklyn,
Michaelis-Bayswater Park,"Beach Channel Drive, B 32 Street, Dwight Avenue, Norton Avenue",Yes,Yes,Queens,
Midland Beach & Boardwalk,"Natural Area and Boardwalk from Sands Lane to Vulcan Street, East of Father Capodanno Boulevard",Yes,Yes,Staten Island,This facility is currently closed
Midland Field,Midland Avenue & Mason Avenue,,Yes,Staten Island,Closed from 7:30 - 3:30p during the schoolyear.
Midland Playground,Lincoln & Mason avenues,Yes,,Staten Island,
Millbrook Playground,"East 135 Street, Cypress Avenue",Yes,Yes,Bronx,
Monsignor Mcgolrick Park,"Driggs to Nassau avenues, Russell to Monitor streets",Yes,,Brooklyn,
Montbellier Park,Springfield Boulevard & 139 Avenue,No,,Queens,
Morningside Park,West 123 Street & Morningside Avenue,Yes,Yes,Manhattan,
Morningside Park,"Athletic Fields and Lawns from 114th Street to 110th Street along Manhattan Avenue, East of Upper Path",Yes,,Manhattan,
Morningside Playground,West 117 Street & Morningside Avenue,Yes,,Manhattan,
Mosholu Playground (PS 8),"Mosholu Pkwy, Bainbridge Avenue, Briggs Avenue",Yes,,Bronx,
Mott Playground,"Morris Avenue, College Avenue, Mc Clellan Street",Yes,,Bronx,
Msgnr. Kett,West 204 Street & Nagle Avenue,Yes,,Manhattan,
Mt. Prospect Park,"Eastern Parkway, Underhill Avenue",Yes,,Brooklyn,
Mullaly Park (Skate Building),"East 164 Street, Jerome Avenue, Macombs Dam Bridge, East 162 Street, River Avenue",Yes,,Bronx,
Murray Playground,"21 Street, 45 Avenue, 11 Street, 45 Road",No,,Queens,
Nautilus Playground,Merrick & Baisley boulevards,Yes,,Queens,
Nelson Playground,"West 166 Street, Nelson Avenue, Woodycrest Avenue",Yes,,Bronx,
Newport Playground,Newport Avenue & Osborn Street,Yes,,Brooklyn,
Noble Playground,"Nobel Avenue, Bronx River Avenue, Bronx River Parkway, Cross Bronx Expressway",No,,Bronx,
Noonan Playground,"Greenpoint & 47 avenues, 43 Street",Yes,,Queens,
North Rochdale Playground (PS 30),Baisley Boulevard & Bedell Street,Yes,,Queens,
Nostrand Playground,Nostrand & Foster avenues,Yes,,Brooklyn,
Ocean Hill Playground,"Bergen Street, Rockaway Avenue, Dean Street",Yes,,Brooklyn,
Old Town Playground,"Parkinson Avenue, Kramer Street",Yes,,Staten Island,
Oracle Playground,Adelphi & Myrtle avenues,Yes,,Brooklyn,
Orchard Beach Pavilion,"Bruckner Boulevard, Eastchester Bay, Hutchinson",No,,Bronx,
Orchard Beach Pavilion,"Bruckner Boulevard, Eastchester Bay, Hutchinson",Yes,Yes,Bronx,
Orville & Wilbur Playground,West 156 Street & St. Nicholas Avenue,Yes,,Manhattan,
Osborn Playground,Linden Boulevard & Osborn Street,Yes,,Brooklyn,
Owen Dolen Recreation Center,"Westchester Avenue, Lane Avenue, East Tremont Avenue",Yes,,Bronx,
P.O. Nicholas Demutis Playground,102 Street & Liberty Avenue,Yes,,Queens,
P.O. Serrano Playground,"Turnbull Avenue, Olmstead Avenue, Lafayette Avenue",Yes,,Bronx,
Paerdegat Park,"Foster Avenue, East 40-41 streets",Yes,,Brooklyn,
Painters Playground (PS 174),Alderton Street from Dieterle to Elwell Crescents,Yes,,Queens,
Park Slope Playground,Berkeley Street & Lincoln Place,Yes,,Brooklyn,
Parkside Playground,"Arnow Avenue, Adee Avenue, Olinville Avenue",Yes,Yes,Bronx,
Parkside Playground,"Parkside, Bedford & Rogers avenues",Yes,,Brooklyn,
Pat Perlato Playground,Falmouth Street & Oriental Avenue,Yes,,Brooklyn,This facility is currently closed. 
Paul W. Kolbert Park/Rachel Haber Cohen Playground,"Avenue L, East 17 to East 18 streets",Yes,,Brooklyn,
Pelham Bay Park (Bruckner Boulevard and Wilkinson Avenue),"Bruckner Boulevard, Eastchester Bay, Hutchinson",Yes,,Bronx,
Pelham Bay Park (Bruckner CS),"Bruckner Boulevard, Eastchester Bay, Hutchinson",Yes,,Bronx,
Pelham Bay Park (Hunter Island Picnic Area),"Bruckner Boulevard, Eastchester Bay, Hutchinson",Yes,Yes,Bronx,
Pelham Bay Park (Playground for All Children),Bruckner Expressway & Buhre Avenue,Yes,Yes,Bronx,
Pelham South Park Headquarters,"Bruckner Boulevard, Eastchester Bay, Hutchinson",Yes,,Bronx,
People's Park Playground,"Brook Avenue, East 141 Street",Yes,,Bronx,
Peter's Field,183 Place & Henderson Avenue,Yes,,Queens,
PFC Thomas Norton Memorial Playground,Nostrand Avenue & Marine Parkway,Yes,,Brooklyn,
Pierrepont Playground,"Furman Street, Pierrepont Place",Yes,,Brooklyn,
Pink Playground,Stanley Avenue & Eldert Lane,Yes,,Brooklyn,
Playground 62 (PS 220),Yellowstone Boulevard between 62 Avenue & 62 Road,Yes,,Queens,
Playground 70,West End Avenue & West 70 Street,Yes,Yes,Manhattan,
Playground 90/PS 148 Playground,Northern Boulevard & 90 Street,Yes,,Queens,
Playground Fifty-Two,"Kelly Street, St. John's Avenue, Beck Street",Yes,,Bronx,
Playground Ninety Six (XCVI),"2 Avenue, East 96 to East 97 streets",Yes,,Manhattan,
Playground Seventy-Five (PS 154),160 Street & 75 Avenue,Yes,,Queens,
Police Officer Reinaldo Salgado Playground,Madison Street & Patchen Avenue,Yes,,Brooklyn,
Poor Richard's Playground,East 109 Street between 2 & 3 avenues,Yes,,Manhattan,
Potomac Playground,Tompkins Avenue & Halsey Street,Yes,,Brooklyn,
Pratt Playground,"Willoughby Avenue, Emerson Place",Yes,,Brooklyn,
Prescott Playground,Hylan Boulevard & Huguenot Avenue,Yes,,Staten Island,
Prospect Park (East Parade Grounds),Argyle Road/Parade Place./Parkside Avenue/Caton Avenue,Yes,,Brooklyn,
Prospect Park (Litchfield Villa),Prospect Park West/3rd Street/7th Street,Yes,,Brooklyn,
Prospect Park (Middle Long Meadow),Picnic House,Yes,Yes,Brooklyn,
Prospect Park (The Bandshell),Prospect Park West/7th Street/15th Street,Yes,Yes,Brooklyn,
Prospect Park (West Parade Grounds),Coney Island Avenue/Arglye Road/Parkside Avenue/Caton Avenue,Yes,,Brooklyn,
Prospect Park (Willink Hill),Lincoln Road/Ocean Avenue/Willink Entrance/East Lake Drive,Yes,,Brooklyn,
Prospect Park (Willink Hill),Lincoln Road/Ocean Avenue/Willink Entrance/East Lake Drive,No,,Brooklyn,
Prospect Park (Wollman Rink & Flower Garden),Prospect Lake/East Lake Drive/south of Breeze Hill/Parking Lot,,,Brooklyn,
PS 1 Playground,"46 & 47 streets, 3 Avenue",Yes,,Brooklyn,
PS 155 Playground,"East 117 to East 118 streets, 1 to 2 avenues",Yes,,Manhattan,
PS 286 Playground,"Avenue Y, between Brown & Haring streets",Yes,Yes,Brooklyn,
PS 59 Sumner Playground,"Throop, Park, Mytrle avenues",Yes,,Brooklyn,
Quarry Ballfields,"Quarry Road, East 181 Street, Oak Place & Hughes Avenue",No,Yes,Bronx,
Queens Farm Museum,"Little Neck Parkway, Commonwealth Boulevard, south of Grand Central Parkway",Yes,,Queens,
Queensbridge Park,"21 Street, Bridge Plaza, Vernon Boulevard, East River",Yes,,Queens,
Railroad Playground,Ditmas Avenue between East 91 & East 92 streets,Yes,Yes,Brooklyn,
Rainey Park,"Dawson Street, Beck Street, Kelly Street, Intervale Avenue, Longwood Avenue",No,,Bronx,
Rainey Park,"Vernon Boulevard, 33 Road, 34 Street, East River",Yes,,Queens,
Randall Playground,"Randall Avenue, Castle Hill Avenue",No,,Bronx,
Rappaport Playground,"52-53 streets, Fort Hamilton Parkway",Yes,,Brooklyn,
Real Good Park (Lie Playground),"LIE, 99 Street & 62 Avenue",Yes,Yes,Queens,
Red Hook Park,"Otsego, Bay, Hicks, Lorraine, Court, Halleck streets",No,,Brooklyn,
Red Hook Park,"Columbia and Bay streets, southeast of ""Halleck Street"" Sidewalk and northeast of ""Henry Street"" Sidewalk",Yes,,Brooklyn,
Red Hook Park (Coffey Park Playground),"King, Richards, & Dwight Streets",Yes,,Brooklyn,
Red Hook Park (Recreation Center),"Otsego, Bay, Hicks, Lorraine, Court, Halleck streets",Yes,,Brooklyn,
Reiff Playground,"Fresh Pond Road, 63 Street, 59 Drive",Yes,,Queens,
Renaissance Playground,"West 144 Street, between 7 & 8 avenues",Yes,,Manhattan,
Rev. Polite Playground,"Rev. James Polite Avenue, Intervale Avenue, East 167 Street",Yes,,Bronx,
Richman (Echo) Park Playground,"East 178 Street & Ryer Avenue, Upper Level",Yes,Yes,Bronx,
Rienzi Playground,"East 226 Street, Barnes Avenue, East 225 Street",Yes,,Bronx,
Riverbend Playground,"Bailey Avenue, West Kingsbridge Road",Yes,Yes,Bronx,
Riverside Park (Boat Basin),"Riverside Drive to Hudson River, West 59th Street to Clair Place",No,,Manhattan,
Riverside Park (Café),"105th Street, next to Henry Hudson Parkway",No,Yes,Manhattan,
Riverside Park (Claremont),West 124 Street & Riverside Drive,Yes,,Manhattan,
Riverside Park (Classic Playground),72nd to 79th streets between Hudson River and Henry Hudson Parkway,Yes,,Manhattan,
Riverside Park (Dinosaur Playground),West 97 Street & Riverside Drive,Yes,,Manhattan,
Riverside Park (Hippo Playground),West 91 Street & Riverside Drive,Yes,,Manhattan,
Riverside Park (Neufeld Playground),West 76 Street & Riverside Drive,Yes,,Manhattan,
Riverside Park (River Run Playground),West 83 Street & Riverside Drive,Yes,,Manhattan,
Riverside Park (Riverbank Playground),West 142 Street & Riverside Drive,Yes,,Manhattan,
Riverside Park (Ten Mile River Playground),West 148 Street & Hudson River,No,,Manhattan,
Riverside Park (Tennis Courts),Riverside Drive & West 96th Street,Yes,,Manhattan,
Robert Moses Playground,"1 Avenue, East 41 to East 42 streets",Yes,,Manhattan,
Rochdale Park,"Guy Brewer Boulevard, 134 Avenue",Yes,,Queens,
Rockaway Beach,Between 87th Street and 100th Street,No,,Queens,
Rockaway Beach,Between 100th Street and 110th Street,No,,Queens,
Rockaway Beach & Boardwalk (Beach 59th Street Playground),Boardwalk & Beach 59-60 streets,Yes,,Queens,
Rockaway Beach (Beach 116Th),Between 110th and 121st streets,Yes,,Queens,This facility is currently closed
Rockaway Beach 106 Comfort Station,Beach 106 Street,,Yes,Queens,
Rockaway Beach 117th L/G,Beach 117 Street,,Yes,Queens,
Rockaway Beach 86 Comfort Station,Beach 86 Street,,Yes,Queens,
Rockaway Beach 97 Comfort Station,Beach 97 Street,,Yes,Queens,
Rodney Playground South,"Rodney, South 3 & South 4 streets",Yes,,Brooklyn,
Roebling Playground,"Wilson & Lee avenues, Taylor Street",Yes,,Brooklyn,
Roger Morris Park (Morris Jumel Mansion),"Jumel Terrace to Edgecombe Avenue, West 160 to West 162 streets",Yes,,Manhattan,
Rolf Henry Playground,New York & Clarkson avenues,Yes,,Brooklyn,
Rose Hill Park,"Webster Avenue, Harlem River, East Fordham Road",Yes,,Bronx,
Rosemary's Playground (JHS 93),"Woodward Avenue, Woodbine Street, Fairview Avenue",Yes,,Queens,
Roy Wilkins Recreation Center,Northwest of fence running from 118th Road to hospital,Yes,,Queens,
Roy Wilkins Recreation Center,Southeast of fence running from 118th Road to hospital,Yes,,Queens,
Rudd Playground,Aberdeen Street & Bushwick Avenue,Yes,,Brooklyn,
Rufus King Park,"Jamaica Avenue, 153 Street, 89 Avenue, 150 Street",Yes,,Queens,
Russell Pederson Playground,"Colonial Road, 83 to 85 streets",Yes,,Brooklyn,
Russell Sage Playground (JHS 190),"68 Avenue, Booth to Austin streets",Yes,,Queens,
Sara D. Roosevelt Park,East Houston Street to Canal Street,Yes,Yes,Manhattan,
Saratoga Square Park,"Howard Avenue, Halsey, Macon streets",Yes,,Brooklyn,
Schmul Park,"Wild Avenue, Pearson Street",Yes,,Staten Island,
Seaside Playground (PS 225),"Rockaway Beach Boulevard, B109-B110 streets",Yes,,Queens,
Seth Low Playground,"Avenue P, Bay Parkway, West 12 Street",Yes,,Brooklyn,
Seton Park,"West 135 Street, Independence Avenue, West 232 Street",Yes,,Bronx,
Seton Park Playground,West 235 Street & Douglas Avenue,No,,Bronx,
Sheltering Arms Park,"West 129 Street, Amsterdam Avenue",Yes,,Manhattan,
Sheltering Arms Park (Pool),"West 129 Street, Amsterdam Avenue",No,,Manhattan,
Shore Road Park,Owl's Head Park to Fort Hamilton Parkway Narrows Avenue,Yes,,Brooklyn,
Shore Road Park,72nd Street to Harbor View,Yes,,Brooklyn,
Shore Road Park,"92nd Street to 4 Avenue - lower half, by expressway",Yes,,Brooklyn,
Shore Road Park,"92nd Street to 4 Avenue - upper half, by road",No,,Brooklyn,
Silver Lake Park,"Victory Boulevard, Clove Road, Forest Avenue",Yes,,Staten Island,
Slattery Playground,"East 183 Street, Ryer Avenue, Valentine Avenue",Yes,,Bronx,
Slope Park,6 Avenue Bet 18 & 19 Sts,Yes,,Brooklyn,
Smokey Oval,125 Street & Atlantic Avenue,Yes,,Queens,
Sol Bloom Playground,"Columbus Avenue, West 91 to West 92 streets, Central Park West",Yes,,Manhattan,
Sol Lain Playground,"Broadway, Henry Street, Samuel Dickstein Place",No,,Manhattan,
Soundview Park Playground,Metcalf Avenue between Seward and Randall avenues,No,,Bronx,
South Beach,"Natural Area and Boardwalk from Sands Lane to Vulcan Street, East of Father Capodanno Boulevard",Yes,,Staten Island,This facility is currently closed
South Beach (Saturn Playground),"Natural Area and Boardwalk from Sands Lane to Vulcan Street, East of Father Capodanno Boulevard",Yes,Yes,Staten Island,This facility is currently closed
South Beach Wetlands,Quintard St Bet. Quincy Ave & Father Capodanno Blvd,,Yes,Staten Island,
Space Time Playground,"Streetory Avenue, Bolton Avenue, Lafayette Avenue, Underhill Avenue",No,,Bronx,
Sperandeo Brothers Playground,Atlantic Avenue & Elton Street,Yes,,Brooklyn,
Springfield Park,"149 Avenue, Springfield Boulevard, 145 Road, 148 Street",Yes,,Queens,
St Nicholas Park South,West 129 & 7 Avenue,Yes,,Manhattan,
St. Albans Park (174 Street Playground),174 Street & 113 Avenue,Yes,,Queens,
St. Andrew's Playground,Atlantic Avenue & Herkimer Street,Yes,,Brooklyn,
St. Catherine's Park,"East 67-68 streets, 1 Avenue",Yes,,Manhattan,
St. Mary's Park (Recreation Center),450 St. Ann's Avenue,Yes,Yes,Bronx,
St. Mary's Park West,St. Anns Avenue & East 147 Street,Yes,,Bronx,
St. Mary's Playground East Playground,Jackson Avenue between East 144 and 145 streets,Yes,Yes,Bronx,
St. Nicholas Park,West 133 Street & St. Nicholas Avenue,Yes,,Manhattan,
St. Nicholas Park,West 129 Street & St. Nicholas Terrace,Yes,,Manhattan,
St. Nicholas Park (Arlington Edinboro Playground),West 140 Street & St. Nicholas Avenue,Yes,,Manhattan,
St. Vartan Park,"East 35-East 36 streets, between 1 & 2 avenues",Yes,Yes,Manhattan,
Stanley Isaacs,East 96-97 streets & FDR Drive,Yes,Yes,Manhattan,
Stapleton Playground,Tompkins Avenue & Broad Street,Yes,Yes,Staten Island,
Star Spangled Banner Playground,Franklin & Willoughby avenues,Yes,,Brooklyn,
Stars & Stripes Playground,"Baychester Avenue, Crawford Avenue",Yes,,Bronx,
Sternberg Park,"Montrose Avenue, Boerum, Lorimer, Leonard streets",Yes,Yes,Brooklyn,
Stockton Playground,Marcy & Park avenues,Yes,,Brooklyn,
Stroud Playground,Classon Avenue & Sterling Place,Yes,,Brooklyn,
Sunset Park,"41 to 44 streets, 5 to 7 avenues",Yes,,Brooklyn,
Sunset Park (Recreation Center),"41 to 44 streets, 5 to 7 avenues",Yes,,Brooklyn,
Surf Playground,West 27 Street & Surf Avenue,Yes,,Brooklyn,
Tall Oak Playground,"64 Avenue, 218 & 219 streets",Yes,,Queens,
Taylor Playground,"Guerlain Street, Thieriot Avenue, Taylor Avenue",Yes,,Bronx,
Tecumseh Playground,West 77 Street & Amsterdam Avenue,Yes,,Manhattan,
Terrace Playground,Howard Avenue & Martha Street,Yes,Yes,Staten Island,
The Pearly Gates,"Tratman Avenue, Street Peter's Avenue",Yes,,Bronx,
Thomas Jefferson Park,"1 Avenue to FDR Drive, East 111 to East 114 streets",Yes,,Manhattan,
Tiffany Playground,"Tiffany Street, Fox Street, East 167 Street",Yes,,Bronx,
Tiger Playground,Evergreen Avenue & Eldert Street,Yes,Yes,Brooklyn,
Tilden Playground,"Tilden Avenue, East 48 to East 49 streets",Yes,,Brooklyn,
Todt Hill Playground,Schmidts Lane & Manor Road,Yes,Yes,Staten Island,
Tompkins Square Park,"Avenues A to B, East 7 to East 10 streets",Yes,Yes,Manhattan,
Tremont Park Playground,Corner of East 175 Street & Arthur Avenue,Yes,,Bronx,
Triborough Bridge Playground A,"Hoyt Avenue, 19 to 21 streets",Yes,,Queens,
Triborough Bridge Playground B,"Hoyt Avenue, 21 to 23 streets",No,,Queens,
Underhill Playground,Underhill Avenue & Prospect Place,Yes,,Brooklyn,
Underwood Park,Lafayette & Waverly avenues,Yes,Yes,Brooklyn,
Union Playground (PS 214),Union Street & 31 Road,Yes,,Queens,
Union Square Park,"Broadway to 4 Avenue, East 14 Street to East 17 streets",Yes,,Manhattan,
Van Cortlandt Park (Allen Shandler Recreation Area),"Broadway, Jerome Avenue, City Line, Van Cortlandt Park South",Yes,,Bronx,
Van Cortlandt Park (Classic Playground),Van Cortlandt Park South and Gouverneur Avenue,Yes,,Bronx,
Van Cortlandt Park (Indian Field),"Broadway, Jerome Avenue, City Line, Van Cortlandt Park South",Yes,Yes,Bronx,
Van Cortlandt Park (Nature Center),West 239 Street & Van Cortlandt East,Yes,,Bronx,
Van Cortlandt Park (Pool Building),West 242nd Street & Broadway,Yes,,Bronx,
Van Cortlandt Park (Stables Area),Broadway and West 254th Street,Yes,,Bronx,
Van Cortlandt Park (Stadium),"Broadway, Jerome Avenue, City Line, Van Cortlandt Park South",Yes,,Bronx,
Van Cortlandt Park (UC Pool Headquarters),"Broadway, Jerome Avenue, City Line, Van Cortlandt Park South",Yes,,Bronx,
Van Cortlandt Park (UC Pool Men's Locker),West 242nd Street & Broadway,Yes,,Bronx,
Van Cortlandt Park (Woodlawn Playground),West 239 Street & Van Cortlandt East,Yes,,Bronx,
Van Voorhees Lower Park,"Congress, Columbia, West/South BQE",Yes,Yes,Brooklyn,
Vesuvio Playground,Spring & Thompson streets,Yes,Yes,Manhattan,
Vidalia Park,Vyse & Daly avenues between West 179-180 streets,No,Yes,Bronx,
Vinmont Veteran Playground,"Mosholu Avenue, West 254 Street, Riverdale Avenue, West 256 Street",Yes,Yes,Bronx,
Virginia Playground,"Virginia Avenue, McGraw Avenue, Cross Bronx Expressway, White Plains Road",No,,Bronx,
Vleigh Place Playground,Vleigh Place & 141 Street,Yes,Yes,Queens,
Vleigh Playground (PS 165),70 Road to 71 Avenue,Yes,,Queens,
Wagner Pool,East 124 Street between 1 & 2 Avenues,No,,Manhattan,
Wakefield Playground,"Matilda Avenue, East 239 Street, Carpenter Avenue",Yes,,Bronx,
Washington Hall Playground,"Park, Washington avenues to Hall Street",Yes,Yes,Brooklyn,
Washington Square Park Western Half,"5 Avenue, Waverly Place, West 4 & MacDougal streets.",Yes,,Manhattan,
Watson Gleason Playground,"Gleason Avenue, Rosedale Avenue, Watson Avenue, Nobel Avenue",Yes,,Bronx,
Wayanda Park,Robard Lane & 217 Street,Yes,,Queens,
Webster Playground,E. 188 St. Bet. Webster Ave. And Park Ave.,,Yes,Bronx,
Weeping Beech Park,37 Avenue & Bowne Street,Yes,,Queens,
West 2nd Street Comfort Station,W. 2nd Street,,,Brooklyn,
West 59th Street Recreation Center & Pool,"West 59 to West 60 streets, Amsterdam to West End avenues",Yes,,Manhattan,
West 8nd Street CS,W 8 St.,,,Brooklyn,
Whitestone Playground (PS 193),12 Avenue & 153 Street,Yes,,Queens,
William E. Kelly Memorial Park,"Avenue S, East 14 & East 15 streets",Yes,,Brooklyn,
William Sheridan Playground,"Wythe Avenue, Berry & Grand streets",Yes,,Brooklyn,
Williamsbridge Oval,"Reservoir Oval East, Reservoir Oval West, Reservoir Place, Putnam Place, Bainbridge Avenue, Wayne Avenue, Tryon Avenue, Holt Place, Van Cortlandt Avenue",Yes,,Bronx,
Willis Playground,"East 139 Street, East 140 Street, Willis & Alexander avenues",Yes,,Bronx,
Willoughby Playground,Tompkins & Willoughby avenues,Yes,,Brooklyn,
Willow Lake Playground (PS 196),Grand Central Parkway between 71 & 72 avenues,Yes,,Queens,
Willowbrook Park,Richmond Avenue To Victory Boulevard,Yes,,Staten Island,
Wingate Park,Brooklyn Avenue & Rutland Road,Yes,,Brooklyn,
Woods Playground,Bergen Street & Utica Avenue,Yes,,Brooklyn,
Woodtree Playground,"20 Avenue, 37 Street, 38 Street",Yes,,Queens,
Yak Playground,Avenue Y between Coyle & Batchelder streets,Yes,Yes,Brooklyn,
Zimmerman Playground,"Britton Street, Barker Avenue, Olinville Avenue",No,,Bronx,
